carat,cut,color,clarity,depth,table,x,y,z,price
0.58,Ideal,G,SI2,61.5,55.0,5.38,5.42,3.32,1276
0.51,Very Good,G,VVS2,62.2,56.0,5.1,5.13,3.18,1762
1.3,Ideal,H,VS2,62.9,56.0,7.0,6.96,4.39,5387
0.32,Ideal,F,VS2,61.6,57.0,4.43,4.4,2.72,828
0.3,Very Good,H,VS1,61.9,55.0,4.32,4.37,2.69,541
1.26,Ideal,G,VS2,61.5,57.0,6.94,6.89,4.25,5792
1.08,Premium,D,SI1,62.6,56.0,6.62,6.57,4.13,5758
0.52,Ideal,G,VVS2,62.3,55.0,5.12,5.16,3.2,1911
1.04,Ideal,H,SI2,62.1,56.0,6.48,6.5,4.03,4404
1.21,Premium,I,SI1,62.0,56.0,6.89,6.83,4.25,5285
1.7,Premium,E,SI1,62.3,57.0,7.68,7.6,4.76,15662
0.31,Ideal,G,SI2,60.5,57.0,4.36,4.4,2.65,408
0.51,Ideal,D,VS1,62.4,57.0,5.13,5.09,3.19,1873
1.01,Very Good,H,VVS2,59.6,63.0,6.55,6.47,3.88,5684
0.51,Premium,I,SI1,61.3,58.0,5.16,5.11,3.15,1084
2.05,Premium,G,SI1,61.6,59.0,8.2,8.16,5.04,15291
0.43,Premium,G,VVS1,62.2,58.0,4.78,4.83,2.99,1207
0.42,Very Good,G,VS2,62.1,55.0,4.8,4.83,2.99,854
0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,4054
0.53,Ideal,G,VS2,61.8,56.0,5.21,5.18,3.21,1607
1.06,Ideal,F,SI1,61.7,55.1,6.56,6.58,4.06,6249
0.56,Ideal,D,VS2,61.5,57.0,5.33,5.28,3.26,2066
0.7,Ideal,G,SI1,60.9,56.0,5.73,5.79,3.51,2965
0.71,Premium,E,SI2,59.0,60.0,5.9,5.87,3.47,2410
2.03,Ideal,G,SI1,60.0,55.8,8.17,8.3,4.95,18757
1.08,Ideal,E,SI2,61.7,57.0,6.6,6.55,4.06,5080
2.03,Fair,H,I1,64.4,59.0,7.91,7.85,5.07,6002
1.0,Very Good,I,SI1,63.1,58.0,6.3,6.35,3.99,4149
0.57,Premium,E,SI1,58.9,59.0,5.41,5.35,3.17,1406
0.51,Ideal,G,VS1,62.1,55.0,5.14,5.17,3.2,1656
1.01,Ideal,I,VS2,61.3,53.0,6.52,6.54,4.0,4887
0.71,Ideal,D,VS2,61.4,56.0,5.74,5.79,3.54,3234
1.09,Very Good,H,SI1,62.5,57.0,6.49,6.54,4.07,5950
0.44,Ideal,H,VVS1,61.1,57.0,4.87,4.92,2.99,1124
0.5,Good,F,SI1,63.7,61.0,5.02,4.99,3.19,1125
1.02,Fair,G,SI2,65.3,58.0,6.33,6.22,4.1,3787
1.33,Premium,G,VS1,62.7,58.0,6.96,7.01,4.38,9699
0.3,Ideal,G,VVS1,61.7,57.0,4.32,4.34,2.67,764
0.77,Very Good,E,SI2,59.9,61.0,5.98,6.01,3.59,2753
0.3,Very Good,D,VS2,62.8,59.0,4.26,4.28,2.68,710
0.32,Ideal,G,VS2,62.1,56.0,4.4,4.36,2.72,672
0.75,Very Good,E,SI1,60.2,60.0,5.89,5.93,3.56,2968
2.05,Premium,J,VS2,62.3,60.0,8.15,8.09,5.06,13667
0.9,Ideal,G,SI2,61.2,57.0,6.24,6.28,3.83,3521
0.76,Ideal,F,SI1,61.4,56.0,5.88,5.92,3.62,2894
0.33,Ideal,D,VS1,60.9,57.0,4.5,4.47,2.73,957
1.09,Ideal,J,SI1,60.7,58.0,6.64,6.68,4.04,4611
0.91,Fair,I,SI2,65.0,58.0,6.05,6.02,3.92,2129
0.3,Very Good,F,SI1,57.9,61.0,4.39,4.49,2.57,489
0.31,Ideal,F,SI1,60.5,57.0,4.4,4.43,2.67,516
0.31,Ideal,G,VS1,60.8,57.0,4.39,4.42,2.68,645
0.31,Ideal,D,VS2,60.7,56.0,4.35,4.38,2.65,734
0.37,Ideal,I,IF,60.7,56.0,4.64,4.68,2.83,754
0.41,Ideal,E,VVS2,61.5,55.0,4.79,4.83,2.96,1187
0.57,Very Good,I,SI1,62.5,58.0,5.22,5.27,3.28,1180
0.51,Very Good,E,SI1,62.3,58.0,5.05,5.12,3.17,1438
1.01,Very Good,E,SI1,63.1,57.0,6.33,6.44,4.03,5085
0.52,Ideal,F,IF,61.7,56.0,5.16,5.18,3.19,2393
1.0,Very Good,D,VS2,59.6,60.0,6.52,6.57,3.9,6745
0.31,Ideal,G,VS1,61.4,56.0,4.36,4.37,2.68,625
1.1,Premium,I,SI1,62.7,58.0,6.58,6.54,4.11,4435
0.5,Very Good,F,SI1,63.2,57.0,5.03,5.06,3.19,1220
0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,641
0.72,Good,I,VS1,61.3,63.0,5.67,5.75,3.5,2451
0.39,Premium,G,VS2,61.2,60.0,4.68,4.73,2.88,787
0.7,Ideal,F,VVS1,62.4,55.0,5.65,5.69,3.54,4341
0.84,Very Good,F,SI2,62.8,57.0,5.99,6.04,3.78,2656
0.71,Good,E,VS2,62.8,60.0,5.6,5.65,3.53,2836
0.77,Ideal,D,SI2,61.5,55.0,5.9,5.93,3.64,2885
2.03,Ideal,H,SI2,61.8,56.0,8.1,8.15,5.02,15143
1.01,Very Good,F,IF,61.9,59.0,6.38,6.45,3.97,10476
0.4,Good,H,SI2,63.7,59.0,4.64,4.69,2.97,561
1.2,Very Good,H,SI2,58.8,61.0,6.94,6.98,4.09,5211
0.34,Very Good,F,VS2,62.9,58.0,4.44,4.46,2.8,686
0.32,Ideal,D,VS2,62.7,54.0,4.38,4.36,2.74,972
0.36,Premium,D,SI2,63.0,59.0,4.52,4.49,2.84,643
0.71,Ideal,E,SI1,62.0,56.0,5.77,5.72,3.56,2329
0.57,Ideal,E,VVS2,61.9,55.0,5.34,5.36,3.31,2534
1.74,Very Good,D,SI1,61.9,58.0,7.74,7.79,4.81,16286
1.13,Ideal,D,VS1,61.2,57.0,6.7,6.72,4.1,11477
0.5,Good,D,SI1,60.5,57.0,5.1,5.14,3.1,1447
0.43,Ideal,D,VS2,62.0,55.0,4.86,4.81,3.0,1129
0.54,Ideal,F,SI2,60.8,56.0,5.26,5.34,3.22,1235
0.3,Very Good,I,VS1,61.8,63.0,4.26,4.29,2.64,442
0.3,Premium,I,VVS1,62.6,60.0,4.28,4.25,2.67,709
1.51,Ideal,I,VS2,62.6,55.0,7.29,7.34,4.58,9891
0.3,Ideal,E,VVS2,61.4,55.0,4.34,4.36,2.67,1053
0.53,Very Good,H,SI1,61.7,60.0,5.17,5.21,3.2,1152
0.54,Premium,F,SI1,61.8,60.0,5.2,5.22,3.22,1237
0.4,Ideal,H,VVS1,62.2,55.0,4.75,4.7,2.94,1088
0.74,Very Good,I,VVS2,61.0,59.0,5.83,5.85,3.56,2550
1.53,Very Good,F,SI1,61.9,56.0,7.45,7.32,4.57,12621
0.41,Fair,H,SI1,65.4,61.0,4.51,4.63,2.99,659
0.31,Ideal,F,VS2,61.3,57.0,4.3,4.34,2.65,625
1.01,Good,I,VS2,63.9,59.0,6.29,6.26,4.01,4197
1.8,Very Good,E,SI1,62.2,57.0,7.81,7.89,4.88,17273
1.39,Ideal,F,SI2,62.2,56.0,7.2,7.15,4.46,5021
0.73,Ideal,G,SI2,61.8,56.0,5.76,5.83,3.58,2585
1.53,Very Good,I,SI2,61.6,56.0,7.39,7.45,4.57,7406
0.55,Ideal,F,VVS2,60.8,56.0,5.27,5.32,3.22,2294
0.54,Ideal,E,VS1,62.0,56.0,5.26,5.23,3.25,2041
0.7,Very Good,G,SI1,62.5,59.0,5.69,5.73,3.57,2545
1.39,Ideal,H,VVS2,61.2,54.0,7.23,7.25,4.43,9298
1.0,Very Good,F,SI1,59.4,60.0,6.47,6.52,3.86,4961
1.22,Ideal,H,VS2,61.9,55.0,6.88,6.83,4.24,4914
0.32,Premium,H,SI1,62.0,58.0,4.38,4.39,2.72,461
0.51,Very Good,I,SI2,63.3,58.0,5.09,5.02,3.2,995
0.42,Ideal,F,VVS2,62.1,55.0,4.81,4.79,2.98,1221
0.26,Premium,E,VS1,61.9,58.0,4.1,4.11,2.54,452
1.71,Very Good,J,SI1,62.9,58.0,7.58,7.64,4.79,8690
0.71,Good,D,VS1,63.4,55.0,5.61,5.69,3.58,2816
0.76,Premium,G,SI2,62.6,55.0,5.87,5.82,3.66,1970
1.0,Premium,E,SI1,60.8,60.0,6.45,6.42,3.91,5470
1.73,Premium,J,SI1,60.7,58.0,7.78,7.73,4.71,9271
1.13,Premium,G,VVS1,59.3,59.0,6.87,6.79,4.05,8868
0.3,Ideal,F,VVS1,62.0,54.2,4.31,4.33,2.68,854
0.71,Ideal,E,SI2,,57.0,5.74,5.78,3.54,2470
0.62,Premium,E,SI2,61.1,59.0,5.51,5.46,3.35,1579
0.31,Ideal,D,VVS2,62.0,56.0,4.35,4.37,2.7,1034
0.68,Premium,G,VS1,58.6,59.0,5.8,5.77,3.39,2326
1.21,Ideal,G,VVS1,60.2,57.0,7.02,6.94,4.2,10232
0.9,Fair,J,VS2,65.0,56.0,6.08,6.04,3.94,2815
1.82,Premium,H,VS2,61.6,60.0,7.78,7.74,4.78,14749
0.77,Ideal,H,SI1,61.3,56.0,5.87,5.91,3.61,3089
0.32,Premium,G,SI1,62.5,58.0,4.4,4.43,2.76,477
1.02,Premium,I,SI1,60.2,60.0,6.45,6.39,3.87,3713
1.04,Premium,H,VS2,62.7,61.0,6.48,6.44,4.05,5416
1.27,Premium,J,VS2,62.8,58.0,6.96,6.92,4.36,4011
0.51,Ideal,E,VS2,61.7,53.0,5.18,5.2,3.2,1590
1.28,Premium,G,VS2,62.1,60.0,6.95,6.89,4.3,8139
0.71,Ideal,D,VS2,59.9,57.0,5.8,5.83,3.48,3540
0.58,Ideal,G,IF,62.1,56.0,5.35,5.37,3.32,2528
1.0,Premium,G,SI2,61.8,58.0,6.44,6.4,3.97,3808
0.3,Premium,H,VS1,60.4,61.0,4.31,4.27,2.59,675
1.03,Ideal,G,SI2,62.1,57.0,6.44,6.42,3.99,4470
0.36,Very Good,E,VS2,59.8,62.0,4.56,4.61,2.74,789
0.78,Ideal,E,VS2,61.4,56.0,5.91,5.95,3.64,3582
0.31,Very Good,E,VVS1,60.4,61.0,4.34,4.4,2.64,725
0.51,Very Good,E,VS2,60.0,57.0,5.15,5.19,3.1,1549
0.55,Premium,F,VS2,59.0,58.0,5.38,5.33,3.16,1931
2.45,Ideal,J,VS2,60.4,56.0,8.72,8.81,5.3,18113
1.29,Fair,G,I1,66.0,58.0,6.82,6.75,4.48,4277
0.9,Good,G,SI1,63.9,60.0,6.1,6.07,3.89,3512
0.32,Ideal,D,VVS1,61.3,57.0,4.42,4.39,2.7,1140
0.24,Good,F,VVS2,65.0,58.0,3.89,3.93,2.54,492
2.61,Ideal,J,SI2,64.6,55.0,8.61,8.57,5.55,17209
0.78,Very Good,G,SI2,63.7,55.9,5.82,5.85,3.72,2401
1.5,Fair,H,I1,65.7,58.0,7.07,7.02,4.63,4939
0.31,Premium,G,VS2,61.0,56.0,4.37,4.35,2.66,698
0.75,Ideal,E,SI1,61.5,56.0,5.88,5.84,3.6,2652
0.42,Premium,E,SI1,61.5,58.0,4.78,4.84,2.96,722
0.72,Very Good,E,SI2,61.4,58.0,5.76,5.8,3.55,2688
0.51,Ideal,D,SI2,62.8,57.0,5.12,5.1,3.21,1359
0.92,Ideal,E,SI2,62.1,53.0,6.22,6.25,3.87,4011
1.01,Ideal,D,VVS2,61.7,57.0,6.43,6.47,3.98,10761
0.3,Ideal,E,VS2,61.8,55.0,4.34,4.36,2.69,795
1.12,Premium,I,SI1,62.0,56.0,6.73,6.65,4.15,4641
0.32,Very Good,D,SI1,63.0,57.0,4.35,4.38,2.75,526
0.76,Ideal,F,IF,59.6,58.0,5.95,5.96,3.55,4596
1.2,Premium,J,VS2,,59.0,6.84,6.76,4.2,4611
0.74,Ideal,F,VVS2,61.7,57.0,5.79,5.84,3.59,4157
0.36,Very Good,F,SI1,60.3,58.0,4.6,4.65,2.79,600
0.93,Good,J,SI1,63.7,54.0,6.15,6.09,3.9,2438
1.51,Premium,H,I1,60.9,56.0,7.38,7.26,4.46,4404
0.41,Ideal,E,VS1,61.8,57.0,4.79,4.76,2.95,1153
0.31,Ideal,H,VS2,62.1,55.0,4.35,4.32,2.69,628
1.19,Ideal,E,SI2,60.2,57.0,6.87,6.84,4.13,5822
0.57,Premium,D,SI1,63.0,59.0,5.27,5.23,3.31,1949
0.39,Premium,D,VS2,61.3,58.0,4.7,4.73,2.89,958
0.35,Ideal,J,VS2,,55.0,4.55,4.57,2.8,446
0.36,Premium,E,VS2,59.3,59.0,4.6,4.68,2.75,789
1.31,Ideal,I,VS1,61.8,55.0,7.03,7.05,4.35,8611
0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,714
0.4,Very Good,D,SI2,63.1,57.0,4.75,4.72,2.99,798
2.0,Ideal,F,SI2,62.6,57.0,8.08,8.01,5.04,18172
0.31,Premium,F,VVS1,59.4,58.0,4.45,4.41,2.63,982
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,8803
0.3,Very Good,F,VVS2,64.2,56.0,4.22,4.26,2.72,613
0.42,Very Good,G,SI1,63.2,57.0,4.79,4.77,3.02,945
1.06,Ideal,G,VS2,62.2,56.0,6.51,6.54,4.06,6660
0.3,Ideal,G,IF,61.5,56.0,4.32,4.36,2.67,863
0.28,Good,E,IF,64.6,58.0,4.09,4.12,2.65,612
1.24,Very Good,F,VS1,59.0,60.0,7.0,7.07,4.15,9885
0.32,Ideal,G,VS2,61.5,55.0,4.39,4.43,2.71,580
0.41,Ideal,E,VS1,60.4,55.0,4.85,4.89,2.94,1115
0.31,Ideal,D,SI1,62.6,56.0,4.33,4.36,2.72,571
1.21,Ideal,G,VS1,62.6,56.0,6.81,6.77,4.25,8774
1.0,Ideal,F,SI1,62.0,55.0,6.39,6.44,3.98,5239
1.21,Good,J,IF,62.1,60.0,6.81,6.87,4.25,6299
0.45,Ideal,G,SI1,62.0,54.0,4.95,4.98,3.08,852
0.51,Very Good,E,SI2,61.6,57.0,5.17,5.19,3.19,1195
0.36,Good,F,VS1,63.6,60.0,4.52,4.47,2.86,945
1.54,Premium,G,VS2,60.2,60.0,7.51,7.44,4.5,13292
0.3,Good,D,SI1,63.3,55.0,4.28,4.31,2.72,552
0.41,Ideal,E,VS1,62.7,57.0,4.72,4.76,2.97,1079
2.2,Premium,G,SI2,60.4,60.0,8.44,8.36,5.08,15897
0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72,900
0.5,Very Good,G,VVS1,61.5,56.0,5.11,5.14,3.15,1843
0.5,Ideal,D,SI1,59.9,60.0,5.15,5.13,3.08,1764
0.79,Very Good,F,SI1,62.7,60.0,5.82,5.89,3.67,2878
1.23,Ideal,H,SI1,61.0,56.0,6.96,6.92,4.23,6439
0.77,Very Good,I,VS2,63.4,58.0,5.81,5.74,3.66,2262
0.3,Very Good,F,SI2,63.4,56.0,4.29,4.26,2.71,506
0.26,Very Good,H,VVS2,59.8,61.0,4.15,4.18,2.49,440
0.75,Premium,H,VS1,61.9,61.0,5.85,5.82,3.61,2961
0.91,Premium,H,VS2,61.0,59.0,6.32,6.27,3.84,4128
0.38,Ideal,E,VS2,61.5,55.0,4.67,4.7,2.88,813
0.31,Ideal,D,SI1,61.1,56.0,4.38,4.36,2.67,732
0.35,Ideal,G,VS2,61.0,57.0,4.54,4.57,2.78,633
1.5,Ideal,H,VS1,61.3,55.0,7.37,7.34,4.51,10080
0.81,Ideal,E,SI2,,55.0,5.94,5.98,3.7,3101
1.01,Fair,G,SI2,65.1,58.0,6.29,6.21,4.07,3461
0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
1.37,Very Good,E,SI2,62.5,59.0,6.98,7.04,4.38,7365
0.77,Good,E,SI2,58.1,63.0,6.02,6.06,3.5,2371
0.32,Ideal,F,VS1,61.3,55.0,4.43,4.46,2.72,676
0.32,Very Good,H,SI1,61.8,56.0,4.38,4.41,2.71,482
0.73,Premium,G,VS2,60.7,58.0,5.87,5.82,3.55,2770
0.72,Very Good,D,VS2,61.8,58.0,5.73,5.76,3.55,3075
0.82,Ideal,D,SI2,62.1,57.0,6.04,6.0,3.74,3357
0.93,Fair,I,VS2,64.7,58.0,6.09,6.06,3.93,3258
0.5,Good,E,VVS2,,62.0,5.04,5.09,3.12,2437
0.39,Premium,G,VS2,60.4,61.0,4.73,4.71,2.85,942
1.4,Very Good,G,VS1,62.6,58.0,7.03,7.07,4.41,11262
1.01,Premium,E,SI1,61.7,56.0,6.44,6.39,3.96,4330
1.11,Ideal,F,VS2,61.9,55.0,6.62,6.66,4.11,7823
1.04,Ideal,H,VVS2,62.2,55.0,6.48,6.52,4.04,6619
0.5,Ideal,H,VS2,60.3,55.0,5.16,5.21,3.13,1306
1.24,Premium,D,SI2,61.4,59.0,6.91,6.87,4.23,6965
1.09,Ideal,D,SI1,61.9,57.0,6.57,6.61,4.08,6133
1.0,Premium,G,SI1,60.0,62.0,6.48,6.45,3.88,4189
0.58,Ideal,F,SI1,62.3,54.0,5.36,5.39,3.35,1401
0.24,Very Good,D,VVS2,61.9,58.0,4.02,4.03,2.49,478
0.71,Good,I,VS2,64.2,58.0,5.52,5.57,3.56,2028
1.01,Good,J,VS1,61.5,61.0,6.39,6.45,3.95,4189
1.63,Good,F,SI1,59.8,56.0,7.57,7.64,4.55,13187
0.9,Good,I,VS1,62.8,57.0,6.07,6.16,3.84,3398
0.41,Very Good,G,VS2,62.7,60.0,4.71,4.75,2.96,835
0.58,Premium,E,VS1,61.8,55.0,5.39,5.35,3.32,2192
0.53,Very Good,D,SI2,62.9,54.0,5.13,5.17,3.24,1314
1.01,Ideal,G,SI2,61.6,54.0,6.4,6.45,3.96,4560
0.3,Very Good,E,VVS1,62.6,56.0,4.26,4.27,2.67,862
1.09,Ideal,G,VS1,60.4,58.0,6.67,6.7,4.04,8296
0.58,Premium,I,VVS1,62.6,59.0,5.27,5.31,3.31,1636
1.01,Fair,D,VS2,65.3,58.0,6.29,6.24,4.09,6366
0.32,Ideal,I,VS1,62.3,57.0,4.42,4.37,2.74,648
1.24,Premium,F,VS1,60.1,59.0,6.99,7.02,4.21,9738
0.54,Very Good,F,VS1,59.9,57.0,5.35,5.3,3.19,1778
0.23,Ideal,E,VS2,62.6,57.0,3.88,3.92,2.44,423
1.52,Very Good,I,VS1,62.9,59.9,7.27,7.31,4.59,10032
2.4,Very Good,I,SI2,60.6,58.5,8.59,8.67,5.24,17955
0.7,Premium,F,SI1,61.2,59.0,5.7,5.64,3.47,2239
0.3,Ideal,G,VS2,60.8,57.0,4.38,4.33,2.65,630
0.7,Premium,E,SI1,60.0,59.0,5.79,5.75,3.46,2777
0.41,Premium,D,VS2,61.8,58.0,4.76,4.79,2.95,846
0.32,Ideal,I,VS1,61.4,55.3,4.39,4.42,2.7,529
0.74,Good,G,VS2,64.2,53.0,5.72,5.69,3.66,2322
0.52,Very Good,G,SI2,63.0,55.0,5.12,5.14,3.23,1049
0.77,Fair,J,VS1,61.2,66.0,5.92,5.83,3.6,2005
1.01,Premium,F,VS1,62.4,61.0,6.39,6.36,3.98,7127
1.22,Fair,G,SI2,64.7,61.0,6.75,6.68,4.34,3763
0.9,Ideal,G,SI1,,56.0,6.2,6.14,3.84,3931
1.24,Ideal,F,VVS2,62.0,57.0,6.86,6.91,4.27,12059
0.31,Ideal,H,VVS2,62.4,57.0,4.32,4.36,2.71,625
0.71,Ideal,F,VS1,61.3,56.0,5.76,5.78,3.53,3480
2.05,Ideal,F,SI2,62.2,57.0,8.19,8.12,5.07,12743
2.07,Ideal,I,SI2,62.0,55.0,8.22,8.12,5.07,16337
0.7,Good,F,VS2,64.3,59.0,5.6,5.56,3.59,2373
0.65,Very Good,D,VS1,60.8,57.2,5.55,5.63,3.4,2752
0.7,Good,E,VS2,58.7,63.0,5.69,5.73,3.35,2912
0.23,Ideal,H,VS1,61.2,55.0,3.94,3.97,2.42,423
0.51,Premium,D,VS2,62.0,60.0,5.12,5.07,3.16,1807
1.17,Good,G,SI2,63.6,62.0,6.65,6.55,4.2,4010
1.53,Premium,I,SI1,61.5,59.0,7.39,7.32,4.52,8911
1.01,Ideal,G,VS2,61.7,57.0,6.48,6.45,3.99,5995
1.51,Fair,H,I1,65.6,61.0,7.16,7.0,4.66,3765
0.52,Ideal,I,SI1,61.8,55.0,5.16,5.19,3.2,1074
0.9,Fair,G,SI1,65.2,59.0,6.05,6.01,3.93,3250
0.42,Ideal,D,VS1,61.8,57.0,4.82,4.79,2.97,1388
1.03,Premium,I,SI1,58.4,60.0,6.6,6.58,3.85,3288
0.32,Ideal,G,VS1,61.9,55.0,4.4,4.42,2.73,602
0.41,Ideal,E,SI1,62.8,57.0,4.75,4.71,2.97,904
0.23,Very Good,F,VS1,63.2,58.0,3.89,3.86,2.45,483
1.39,Good,F,SI2,63.8,55.0,7.05,7.08,4.51,6969
2.01,Premium,I,SI2,62.3,59.0,8.01,7.97,4.98,12182
2.02,Ideal,G,VS2,62.0,57.0,8.1,8.05,5.01,18700
0.9,Ideal,D,SI1,61.3,58.0,6.16,6.21,3.79,4661
1.51,Good,E,I1,63.6,60.0,7.3,7.26,4.63,5647
0.41,Very Good,I,VVS1,63.1,58.0,4.68,4.74,2.97,847
0.31,Good,H,VVS2,63.6,56.0,4.28,4.33,2.74,625
0.4,Good,E,SI1,63.7,56.0,4.69,4.66,2.98,882
2.33,Premium,H,I1,60.7,58.0,8.64,8.56,5.22,8220
0.55,Premium,E,VS2,59.1,60.0,5.35,5.31,3.15,1664
1.51,Premium,F,SI1,62.2,59.0,7.34,7.3,4.55,11607
1.0,Premium,G,SI1,60.1,61.0,6.44,6.4,3.86,3634
0.7,Premium,G,VS2,62.2,61.0,5.59,5.54,3.46,2657
1.61,Ideal,E,SI2,61.6,56.0,7.54,7.62,4.67,9961
0.27,Ideal,G,VS2,61.6,54.0,4.17,4.2,2.58,490
0.5,Ideal,F,SI2,61.3,58.0,5.1,5.12,3.13,1020
1.03,Very Good,G,I1,63.2,58.0,6.44,6.34,4.04,2988
1.6,Ideal,F,SI1,61.1,55.0,7.55,7.58,4.62,13140
0.91,Premium,E,VS2,62.2,60.0,6.21,6.13,3.84,4676
0.32,Premium,E,SI1,62.3,58.0,4.37,4.4,2.73,561
0.32,Premium,E,SI1,61.6,56.0,4.41,4.39,2.71,720
1.03,Ideal,G,SI1,61.6,55.0,6.48,6.52,4.0,5518
0.72,Very Good,G,VS2,63.1,57.0,5.74,5.71,3.61,2732
0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,2834
0.5,Ideal,D,VVS2,62.5,53.0,5.05,5.13,3.18,2475
0.45,Good,E,SI1,63.9,57.0,4.86,4.81,3.09,1063
1.64,Ideal,F,SI1,61.8,55.0,7.6,7.58,4.69,13289
0.41,Very Good,D,VS2,,54.0,4.77,4.82,2.96,939
0.4,Good,E,SI1,63.6,57.0,4.65,4.69,2.97,687
0.25,Ideal,G,VS1,62.3,54.0,4.05,4.11,2.54,438
0.78,Premium,J,SI1,63.0,60.0,5.88,5.82,3.66,1954
0.9,Premium,F,SI1,62.6,62.0,6.13,6.11,3.83,3437
0.9,Very Good,H,VS2,62.0,57.0,6.1,6.16,3.8,4155
1.5,Premium,G,VS2,61.2,61.0,7.34,7.29,4.48,12308
0.3,Very Good,H,VVS1,62.0,59.0,4.26,4.29,2.65,684
0.3,Premium,H,VS1,61.0,58.0,4.28,4.31,2.62,526
0.36,Premium,I,VS2,62.7,59.0,4.58,4.54,2.86,648
1.26,Very Good,H,VS2,63.8,52.0,6.89,6.84,4.38,7567
0.34,Ideal,D,VS1,61.3,56.0,4.5,4.54,2.77,742
0.36,Very Good,H,VVS2,61.3,55.0,4.58,4.64,2.81,668
1.29,Ideal,J,SI1,61.6,58.0,6.96,6.99,4.3,5607
0.54,Ideal,G,VVS2,61.9,55.0,5.2,5.3,3.25,1927
0.5,Premium,G,SI2,62.6,58.0,5.09,5.03,3.17,1121
1.5,Premium,H,VS2,60.6,61.0,7.34,7.31,4.44,10668
0.9,Good,D,SI2,60.3,64.0,6.1,6.14,3.69,3534
0.75,Premium,E,VS2,61.8,58.0,5.83,5.85,3.61,3206
0.67,Premium,G,SI1,60.5,60.0,5.69,5.65,3.43,1914
1.3,Ideal,E,IF,62.3,54.0,6.97,7.03,4.36,15874
1.24,Premium,D,SI1,59.3,60.0,7.05,7.01,4.16,6319
0.51,Ideal,G,IF,62.9,58.0,5.07,5.11,3.2,2146
2.28,Ideal,J,SI1,61.6,57.0,8.5,8.43,5.21,12755
0.35,Premium,E,SI1,62.9,58.0,4.52,4.48,2.83,788
1.23,Premium,I,SI1,60.3,60.0,6.95,6.88,4.17,4133
1.02,Very Good,G,VVS2,62.7,58.0,6.36,6.4,4.0,9596
1.97,Premium,F,SI2,61.1,58.0,8.11,8.05,4.94,14542
0.71,Very Good,E,SI1,62.0,55.0,5.72,5.76,3.56,2420
1.01,Premium,G,SI2,63.0,58.0,6.34,6.29,3.98,4038
1.12,Very Good,F,VS2,62.0,58.0,6.63,6.69,4.13,6925
0.79,Very Good,E,SI2,59.2,59.0,6.04,6.06,3.58,2941
0.3,Ideal,H,VVS2,61.5,57.0,4.34,4.31,2.66,776
1.03,Premium,G,SI2,59.9,60.0,6.56,6.5,3.91,4413
0.71,Ideal,I,SI1,60.2,60.0,5.77,5.79,3.48,2319
1.25,Premium,I,VS2,61.0,59.0,6.98,6.89,4.23,6084
1.03,Very Good,D,VVS2,62.7,58.0,6.39,6.43,4.02,11677
1.01,Premium,I,SI2,59.6,62.0,6.56,6.5,3.89,3767
0.77,Ideal,F,VS1,62.1,57.0,5.88,5.84,3.64,3387
0.39,Very Good,G,VS2,62.4,56.0,4.64,4.68,2.91,787
0.9,Very Good,I,SI1,63.2,56.0,6.15,6.12,3.88,3120
0.34,Ideal,G,VS2,61.9,55.0,4.53,4.49,2.79,765
0.41,Good,H,SI1,63.8,56.0,4.74,4.69,3.01,876
0.34,Very Good,G,VS1,62.2,55.0,4.48,4.52,2.8,640
0.5,Fair,E,SI1,66.4,58.0,4.98,4.87,3.27,1196
0.4,Ideal,D,VS2,60.5,57.0,4.8,4.76,2.89,1125
0.41,Premium,G,SI1,62.8,58.0,4.74,4.72,2.97,861
0.41,Very Good,H,IF,62.9,54.0,4.71,4.74,2.97,1187
0.3,Good,H,VVS2,63.6,55.0,4.28,4.24,2.71,776
0.33,Ideal,H,SI2,61.2,54.0,4.45,4.5,2.74,448
0.41,Ideal,H,VS1,61.1,56.0,4.83,4.86,2.96,1269
1.0,Good,E,SI1,63.2,57.0,6.36,6.39,4.03,5299
1.02,Premium,H,SI2,62.5,54.0,6.44,6.4,4.01,4284
0.46,Very Good,J,VS1,62.5,58.0,4.87,4.92,3.06,874
1.11,Ideal,I,SI1,61.7,57.0,6.61,6.64,4.09,6090
0.34,Ideal,E,SI1,62.2,54.0,4.5,4.47,2.79,714
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,16803
1.25,Premium,I,VS2,61.0,59.0,6.89,6.98,4.23,5975
0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,1002
1.31,Premium,I,SI1,63.0,57.0,6.96,6.91,4.37,5869
1.01,Premium,H,SI2,62.5,58.0,6.39,6.35,3.98,3959
0.54,Ideal,E,VS2,61.0,56.0,5.25,5.28,3.21,1754
1.05,Ideal,H,SI1,61.9,57.0,6.54,6.57,4.06,5342
1.36,Ideal,F,VVS1,61.3,57.0,7.13,7.23,4.4,15247
